,letter,x-box,y-box,width,height,onpix,x-bar,y-bar,x2bar,y2bar,xybar,x2ybr,xy2br,x-ege,xegvy,y-ege,yegvx
8849,D,3,9,4,6,4,7,7,6,7,6,5,6,3,8,3,7
3376,D,4,7,5,5,5,7,8,6,6,8,7,5,3,8,3,7
943,O,2,3,2,1,1,8,7,6,4,9,6,8,2,8,3,8
5570,H,5,8,7,6,8,7,6,5,5,6,6,7,8,7,8,9
6305,G,3,8,4,6,2,7,6,7,7,6,6,10,1,8,6,11
5666,P,7,9,9,7,5,7,12,8,3,10,5,3,2,11,5,8
13716,X,3,3,5,2,2,5,9,2,7,10,9,8,2,8,3,6
17155,A,2,5,4,4,2,7,2,2,2,6,2,8,2,7,2,7
12598,O,4,7,5,5,3,7,8,7,6,9,8,8,3,8,3,8
3300,P,6,9,5,5,3,6,11,6,2,11,5,4,4,10,4,8
8908,M,3,4,4,3,3,8,6,6,4,6,7,8,7,6,2,7
2669,F,5,11,5,8,4,1,13,5,4,12,10,6,0,8,2,6
7925,Z,4,8,6,6,3,7,8,2,10,12,6,8,1,9,6,8
14573,L,3,4,3,3,2,4,3,4,6,2,2,6,0,7,0,6
6780,Y,5,7,7,10,10,7,6,4,2,8,8,9,8,11,9,7
2962,P,6,7,8,9,8,7,9,2,3,7,9,6,6,10,6,4
7623,X,4,8,6,6,4,7,8,3,9,5,6,7,4,9,7,7
15817,U,3,6,4,4,1,8,4,13,5,7,13,8,3,9,0,8
6866,Q,5,5,6,7,6,10,11,6,0,4,7,11,6,14,4,9
16172,N,2,7,3,5,3,7,7,11,1,6,6,8,5,8,0,8
3765,B,6,11,4,6,3,10,5,6,5,11,3,9,6,7,6,10
105,V,4,10,7,7,2,9,8,5,3,5,14,8,3,9,0,8
12191,X,6,9,8,7,7,7,6,3,5,6,6,10,4,6,11,9
7191,M,4,7,8,5,8,10,4,2,1,9,4,9,8,6,2,6
10581,W,10,10,10,8,7,2,11,2,3,10,10,8,7,11,2,7
3727,O,4,8,5,6,4,7,8,8,4,7,7,8,3,8,3,8
1677,H,4,4,6,6,5,9,9,3,1,7,7,8,4,9,8,8
10170,Y,2,6,3,4,0,9,10,2,2,6,12,8,1,11,0,8
8038,G,5,9,5,7,4,5,7,6,6,10,8,9,2,9,5,9
5531,T,5,10,5,7,4,4,12,3,5,11,10,5,2,13,2,4
3871,U,3,2,4,4,2,8,8,6,7,5,9,8,3,9,1,8
998,H,1,1,2,1,1,7,7,12,1,7,6,8,3,8,0,8
15095,I,0,3,0,4,0,7,7,4,4,7,6,8,0,8,0,8
17558,X,2,3,3,4,1,7,7,4,4,7,6,8,2,8,4,8
17745,P,9,14,8,8,4,9,8,7,5,13,3,5,5,10,4,8
16306,G,2,4,3,2,2,6,7,5,5,9,7,10,2,8,4,10
243,W,3,3,4,4,2,5,8,4,1,7,9,8,7,10,0,8
1936,P,3,4,5,6,7,8,5,5,2,7,6,7,6,9,6,9
1390,I,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
4537,S,5,7,6,5,4,9,7,4,7,10,3,7,2,7,5,10
8377,B,7,11,10,8,7,10,6,3,7,10,4,7,2,8,7,11
8058,B,5,10,5,8,4,6,8,10,7,7,5,7,2,8,9,10
5144,U,4,10,6,7,4,5,8,7,7,8,10,10,3,9,1,8
6986,X,1,1,2,1,0,7,7,4,4,7,6,8,2,8,4,7
13615,L,4,11,5,8,3,6,4,3,8,6,1,8,1,6,3,7
1828,M,7,10,10,8,9,11,6,2,5,9,4,6,10,7,2,8
17646,K,5,11,5,8,5,3,7,7,3,7,6,11,3,8,3,11
7331,S,6,9,8,7,5,7,7,3,7,10,8,9,2,10,5,6
5427,X,4,4,5,6,1,7,7,4,4,7,6,8,3,8,4,8
13079,L,3,6,5,4,3,6,4,1,8,8,2,11,0,7,2,8
13406,H,3,3,4,4,2,7,9,14,1,7,3,8,3,8,0,8
761,J,5,11,7,8,8,10,7,4,4,8,4,5,4,7,6,5
17461,K,6,8,8,6,4,3,9,3,7,11,11,11,4,7,4,5
10046,L,2,6,3,4,2,4,3,8,7,1,2,4,1,6,1,6
6180,C,4,8,5,7,5,5,7,4,4,7,6,11,4,9,8,10
76,R,2,6,4,4,3,6,7,5,5,6,5,7,3,7,5,8
3857,S,3,5,3,4,2,8,7,7,5,8,5,7,2,8,9,8
12437,S,2,8,3,6,3,7,7,5,7,5,6,7,0,8,8,8
678,E,4,8,4,6,2,3,7,6,11,7,6,15,0,8,7,7
6224,O,2,7,3,5,2,7,7,9,6,7,6,8,3,8,4,8
5161,Q,4,7,5,6,3,8,7,8,6,6,7,9,3,8,5,9
12645,V,4,8,4,6,2,4,11,4,4,10,11,7,3,10,1,8
5268,S,6,10,8,8,4,8,7,4,8,11,5,7,2,8,5,8
2157,N,6,9,9,7,5,7,9,2,5,10,6,6,6,9,1,8
10995,W,6,7,6,5,6,7,10,4,3,8,6,6,9,11,4,6
7835,N,1,1,2,1,1,7,7,11,1,5,6,8,4,8,0,8
13280,W,5,9,7,7,4,6,8,5,2,7,8,8,9,10,0,8
11633,U,7,9,7,6,5,4,8,5,8,9,6,9,7,9,6,2
1821,O,4,8,5,6,2,8,6,8,7,7,5,8,3,8,4,8
13062,C,7,10,7,7,4,4,10,7,8,12,10,8,2,10,3,7
11312,Q,2,1,2,2,1,8,6,7,4,6,6,8,3,8,3,8
1029,H,3,4,4,5,2,7,9,15,2,7,3,8,3,8,0,8
5294,D,5,9,8,6,5,10,6,5,8,10,3,5,3,8,4,9
4776,C,4,9,5,7,4,6,8,6,8,7,6,13,1,8,4,9
13225,S,5,10,6,8,3,8,8,6,9,5,6,7,0,8,9,8
19092,T,5,6,7,6,6,8,10,5,8,7,6,8,3,10,7,7
18708,H,3,6,5,4,4,5,9,3,6,10,8,8,3,8,3,6
5678,L,2,3,3,5,1,0,1,5,6,0,0,7,0,8,0,8
16353,D,4,7,6,5,5,8,8,6,5,9,5,4,5,8,5,9
3341,P,3,6,3,4,2,3,12,6,1,11,7,4,0,9,3,8
7229,C,1,0,2,1,0,6,7,6,8,7,6,14,0,8,4,10
8737,K,3,7,4,5,2,3,6,7,3,7,7,12,3,8,3,11
17280,N,1,0,2,1,0,7,7,11,0,5,6,8,4,8,0,8
917,S,5,11,6,8,3,9,10,6,10,5,6,5,0,7,9,8
14194,D,4,11,4,8,3,5,8,10,8,8,8,5,3,8,4,8
17870,J,2,6,3,4,2,10,6,1,8,12,3,7,0,7,0,8
11179,J,3,4,4,6,1,11,2,10,3,13,8,14,1,6,0,8
7701,C,4,9,6,7,6,5,7,4,4,7,6,9,6,9,5,7
205,S,8,14,8,8,4,9,4,4,4,13,5,8,3,10,3,8
6456,M,7,8,9,7,10,8,7,5,4,7,6,7,10,9,6,4
11131,J,5,9,6,6,2,9,4,3,9,15,4,11,0,7,0,8
6801,K,3,2,4,4,3,6,7,4,7,6,6,10,3,8,5,9
14339,S,1,0,1,1,0,8,7,4,6,5,6,8,0,8,7,8
8359,C,3,5,4,4,2,3,9,4,7,11,10,12,1,9,2,6
3443,T,5,9,5,7,3,5,12,4,6,12,9,4,2,12,2,4
10947,B,4,10,5,8,4,6,6,10,7,6,7,7,2,8,9,9
19245,W,4,8,7,6,6,7,11,2,2,6,8,8,7,12,1,8
17042,V,3,8,5,6,2,6,11,2,4,8,12,8,2,10,1,8
17753,M,4,5,6,3,4,8,6,6,5,6,7,8,9,6,3,7
19524,D,2,6,3,4,2,5,7,10,7,7,6,5,3,8,3,8
8504,J,1,0,1,0,0,12,4,6,3,13,5,11,0,7,0,8
2994,M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8
1212,K,4,11,5,8,2,3,7,8,2,7,5,11,3,8,2,11
15770,J,3,10,4,8,1,11,2,11,3,12,8,14,1,6,0,8
11906,Z,8,14,8,8,5,11,4,5,8,12,3,10,4,4,8,12
782,E,4,8,5,6,3,3,9,6,12,7,5,14,0,8,7,7
12458,N,3,5,5,3,2,5,9,3,4,10,8,8,5,8,0,7
16859,H,3,6,4,4,3,7,8,7,5,8,5,7,3,7,5,11
18986,O,4,10,6,7,3,8,7,9,8,7,6,8,3,8,4,8
1571,O,2,3,3,2,2,7,7,7,5,7,6,8,2,8,3,8
17011,W,7,10,7,7,6,5,10,4,3,9,7,7,9,13,3,4
1741,I,0,1,0,1,0,7,7,4,4,7,6,8,0,8,0,8
851,M,3,7,4,5,3,7,6,11,1,8,9,8,7,6,0,8
7749,A,2,4,4,3,1,8,2,2,2,7,2,8,2,6,2,7
11583,C,1,3,2,1,1,4,8,4,6,10,9,12,1,8,2,8
6949,G,5,7,6,5,6,7,8,6,2,6,6,9,5,7,7,7
5345,O,7,11,9,8,10,7,10,5,3,8,7,7,11,11,7,10
135,X,4,8,5,6,3,5,8,1,8,10,9,9,2,9,3,6
13201,G,2,5,4,3,2,7,7,6,6,6,6,10,2,8,4,9
7223,X,6,11,10,8,5,10,7,2,9,11,1,6,4,9,4,10
19188,S,5,7,7,6,8,7,8,5,5,7,7,7,5,9,11,12
12893,A,2,7,4,5,2,11,2,3,3,10,2,9,2,6,3,8
8081,R,3,7,5,5,5,6,7,3,3,6,6,9,5,9,7,5
13336,M,5,9,7,4,4,6,4,3,2,8,4,10,7,3,1,8
5373,Y,8,7,6,10,4,9,7,6,6,4,10,7,5,10,3,7
5596,T,4,4,4,3,2,5,11,2,8,12,9,4,1,10,2,4
16936,U,5,10,6,7,2,7,4,14,5,7,14,8,3,9,0,8
2390,Q,3,5,4,8,7,8,7,5,0,6,6,9,7,10,6,12
3378,R,2,4,4,3,2,8,7,3,4,9,4,6,3,7,3,9
7941,B,1,3,3,1,2,8,7,2,5,10,5,7,1,8,4,9
11486,T,5,5,6,5,5,6,8,4,8,8,7,9,3,8,7,5
12991,J,4,10,6,7,5,6,8,3,4,8,7,7,6,7,4,7
16875,L,3,7,4,5,2,6,3,1,8,8,2,11,0,7,2,8
19876,U,4,5,5,4,3,6,8,5,7,7,10,10,3,9,1,8
12898,V,2,6,3,4,1,7,9,4,2,7,13,8,3,10,0,8
11193,Q,7,8,10,7,8,6,4,4,6,5,4,7,5,3,7,6
17092,Q,3,5,4,6,4,8,7,7,3,5,7,10,3,8,5,10
11901,P,4,5,4,7,2,4,12,9,2,10,6,4,1,10,4,8
12713,V,3,6,5,4,1,8,8,4,2,7,14,8,3,9,0,8
10494,B,5,10,5,5,4,7,8,3,4,9,6,7,6,7,8,6
15028,O,7,10,7,8,5,7,7,8,6,10,7,9,3,8,4,7
10230,P,4,9,4,6,2,5,11,10,3,10,6,4,1,10,4,8
1729,G,3,4,4,3,2,7,6,6,6,6,6,10,2,9,4,9
9058,V,3,10,5,7,2,9,8,4,3,6,14,8,3,10,0,8
16429,P,3,8,4,6,4,6,9,6,4,9,7,4,2,10,3,7
15107,M,3,6,4,4,2,7,7,11,1,7,9,8,8,6,0,8
18084,Q,5,6,8,6,6,8,4,4,4,7,4,10,6,6,7,7
81,P,8,14,7,8,4,5,10,6,3,12,5,4,4,10,4,8
1853,Z,6,9,8,7,4,9,6,3,10,11,4,9,1,7,6,8
2197,F,4,9,5,6,2,1,11,5,7,12,11,9,0,8,2,6
17340,Q,2,5,3,6,3,9,10,6,1,3,7,11,2,10,5,11
13180,O,2,0,2,1,0,7,7,6,5,7,6,8,2,8,3,8
19024,Q,7,9,7,11,8,7,10,4,4,7,10,11,5,11,10,9
10902,W,7,11,10,9,15,8,8,6,2,7,7,8,14,10,5,8
4347,H,5,8,8,6,5,6,8,4,7,10,9,9,4,9,4,6
10205,X,2,3,4,2,1,7,7,1,8,10,6,8,2,8,3,8
4209,U,4,10,4,7,2,7,5,15,5,7,13,8,3,9,0,8
1616,C,3,7,4,5,2,3,8,5,8,9,9,13,1,8,3,7
11726,W,8,9,8,5,3,3,11,2,3,11,11,8,7,11,0,7
3852,M,4,5,6,4,4,8,6,2,4,9,6,8,7,5,2,8
19312,U,5,9,5,5,3,8,6,4,5,6,7,8,4,8,3,7
960,R,4,8,4,6,4,6,8,9,4,7,5,8,2,7,5,11
3941,B,7,11,9,8,9,8,8,4,6,7,6,7,7,7,7,9
12009,Y,3,6,4,4,2,8,10,2,6,5,12,8,2,11,2,8
567,P,7,10,9,8,6,7,10,4,4,12,5,3,1,10,3,8
19316,R,3,4,4,6,3,5,11,8,4,7,2,9,3,7,6,11
16535,E,2,4,2,2,2,7,7,5,8,6,5,8,2,8,6,9
19855,L,4,8,5,6,3,7,3,2,8,7,2,8,1,6,2,7
10228,U,4,7,6,5,7,8,8,4,4,6,8,8,8,9,5,7
17316,X,4,9,6,6,5,7,7,3,9,5,6,8,3,8,6,8
3970,W,6,10,8,8,4,4,8,5,2,7,9,8,9,9,0,8
7910,V,5,11,8,8,2,6,8,5,3,8,14,8,3,9,0,8
16707,A,3,8,5,6,5,8,7,7,4,7,6,9,5,7,7,4
7094,B,2,3,3,1,2,7,7,4,5,7,6,6,1,8,5,9
11233,B,2,1,3,2,2,7,7,4,5,6,6,5,2,8,5,9
1442,A,2,4,3,2,1,8,2,2,2,8,2,8,2,6,2,7
5081,B,4,10,5,7,4,6,8,9,7,7,5,7,2,8,9,9
13076,M,4,9,6,6,7,7,8,6,4,7,6,8,6,9,7,6
1211,O,3,3,4,2,2,7,8,7,5,7,7,8,2,8,3,8
388,K,6,9,8,8,8,7,7,2,4,7,3,9,7,4,9,10
3280,T,2,8,4,6,2,6,11,3,7,8,11,7,2,11,1,7
17830,Z,3,8,4,6,2,7,7,4,13,9,6,8,0,8,8,8
10271,T,5,10,5,7,3,6,11,3,7,11,9,4,2,12,3,4
19851,X,6,10,9,7,4,8,6,1,9,10,4,8,3,8,4,8
1761,S,2,6,3,4,2,7,6,5,8,4,6,8,0,9,8,8
19353,W,3,7,5,5,5,7,11,2,2,6,8,8,6,11,1,8
17061,R,2,3,2,2,2,7,7,4,5,6,5,6,2,7,4,8
8405,P,3,3,4,4,2,4,13,8,1,11,6,3,1,10,4,8
14864,R,5,9,8,8,9,9,7,4,4,8,5,7,9,9,7,5
4727,U,6,11,6,6,3,6,5,4,5,6,8,8,5,7,2,8
17359,S,5,8,7,6,8,8,5,4,4,9,6,10,4,8,9,9
4239,P,4,9,5,6,3,5,10,10,5,9,6,5,2,10,4,8
12011,S,3,4,4,7,2,8,7,6,8,4,6,8,0,8,9,7
15438,D,10,15,9,8,6,9,5,4,7,9,5,7,6,10,6,8
4931,E,5,11,5,8,3,3,7,6,11,7,6,14,0,8,8,7
11830,T,3,8,5,6,3,6,12,2,8,8,12,8,1,11,1,7
483,A,3,8,5,5,1,6,6,3,1,6,0,8,2,6,1,7
2398,T,3,9,5,7,3,7,12,3,7,7,12,8,1,12,1,8
12414,G,3,7,5,5,5,9,7,5,2,7,6,10,5,9,4,10
1457,L,3,6,5,4,5,8,8,3,5,5,7,9,6,11,6,5
8203,N,3,4,5,3,2,7,9,3,5,10,7,7,5,8,1,8
17754,B,5,9,7,7,10,9,9,5,4,7,8,6,6,10,10,10
6744,Q,2,1,2,1,1,8,6,6,4,6,6,8,2,8,3,8
18107,P,6,6,6,8,3,5,10,10,6,8,6,5,2,10,4,8
7672,G,2,3,3,2,2,6,7,5,5,9,7,10,2,9,4,9
19380,K,6,11,6,8,3,4,8,8,2,7,4,11,4,8,2,11
1463,V,9,14,7,8,3,7,11,5,6,10,10,5,4,11,3,8
9478,C,8,11,5,6,2,7,9,6,7,12,7,8,2,9,5,9
10192,W,2,1,4,2,2,9,11,3,2,5,9,8,5,11,0,8
4585,H,2,7,3,4,2,7,6,14,2,7,8,8,3,8,0,8
2513,M,6,9,9,6,10,10,3,3,2,9,4,8,11,5,3,7
18627,U,4,11,6,8,4,8,8,6,7,4,8,9,6,10,1,8
673,Y,3,7,5,5,2,7,10,2,2,7,12,8,1,11,0,8
2850,W,4,7,6,5,4,6,11,2,3,7,9,9,8,11,1,8
19126,L,3,5,4,4,3,8,5,5,5,7,7,7,4,9,6,10
10179,U,4,7,4,5,3,7,5,13,5,7,11,8,3,9,0,8
15682,Q,2,2,3,3,2,8,7,7,3,6,6,9,2,9,3,9
864,K,4,2,5,3,3,5,7,4,8,7,6,11,3,8,5,9
14148,V,8,10,7,7,3,3,12,4,4,10,12,8,3,10,1,8
3527,E,5,9,7,8,7,5,8,4,3,8,6,9,5,11,10,9
15789,L,3,7,4,5,2,5,2,7,8,1,2,2,1,6,1,5
3873,O,3,7,4,5,3,6,8,7,5,9,8,8,3,8,3,8
15007,V,5,9,7,7,5,8,11,3,2,5,10,9,5,10,5,8
17648,T,2,6,3,4,2,8,12,2,8,5,11,9,1,11,1,8
5435,B,3,7,4,5,3,6,7,8,6,7,6,7,2,8,9,10
13580,L,2,5,4,4,2,6,4,1,8,8,2,10,0,7,2,8
12138,M,7,9,9,6,8,6,7,2,4,9,8,9,8,6,2,8
13422,S,7,15,6,9,3,7,4,4,4,7,2,7,3,6,6,8
12543,D,4,9,4,7,3,6,7,11,9,6,5,6,3,8,4,8
18576,X,6,10,6,6,3,7,7,2,7,11,6,8,4,9,4,7
2969,V,4,7,6,5,7,7,8,4,1,8,7,8,5,10,5,8
17968,H,4,11,5,8,3,7,7,15,1,7,7,8,3,8,0,8
7158,F,1,3,2,1,1,6,10,3,4,13,7,5,1,9,1,8
4105,H,3,2,4,4,3,8,8,6,6,7,6,8,3,8,3,9
8430,D,4,7,4,5,4,6,7,9,7,6,4,6,2,8,3,8
15206,U,6,8,7,6,3,4,8,7,8,9,9,9,3,9,3,5
10030,L,4,10,4,8,1,0,1,6,6,0,0,6,0,8,0,8
11384,S,6,8,7,6,4,9,6,4,8,11,4,8,2,8,5,11
840,T,2,2,3,3,2,7,11,2,7,7,11,8,1,11,1,8
6876,G,5,8,5,6,3,6,7,7,6,10,7,11,2,9,4,9
16629,O,3,1,4,3,2,7,7,7,4,7,6,7,2,8,3,7
6449,E,5,11,7,8,8,8,7,5,3,7,6,8,5,8,9,9
842,J,2,3,4,2,1,9,6,3,5,14,6,10,0,7,0,8
15715,R,4,9,6,7,6,9,7,4,5,10,4,7,3,7,4,11
16438,Y,1,0,2,0,0,7,10,3,1,7,12,8,1,11,0,8
5053,E,4,9,6,7,5,7,7,2,7,11,7,9,3,8,4,8
1757,K,4,9,6,7,4,5,7,5,7,6,6,10,4,8,5,9
3869,N,6,10,8,8,6,7,9,5,5,7,6,6,7,7,3,7
11339,Q,2,2,3,3,2,8,7,6,2,5,6,9,2,9,4,9
756,F,4,8,7,6,7,10,6,1,5,9,6,6,5,10,4,6
10520,A,7,15,7,8,5,10,2,5,2,11,5,12,6,3,6,10
8351,Z,4,8,6,6,4,7,9,2,9,11,7,6,1,8,6,6
15451,C,3,8,4,6,2,5,8,7,8,7,8,14,1,8,4,10
12900,X,2,1,2,1,0,8,7,4,4,7,6,8,3,8,4,8
2761,T,4,7,5,5,2,6,11,2,8,11,9,5,1,11,3,4
6802,D,3,5,5,4,3,9,6,4,6,10,4,6,2,8,3,8
10476,D,4,7,6,6,5,5,7,7,7,7,6,7,4,6,5,6
90,N,6,11,8,8,9,5,8,3,4,8,8,9,7,9,5,4
13524,E,5,8,7,6,4,4,9,3,9,11,9,10,2,8,4,5
11026,D,5,9,5,7,5,5,7,9,7,6,4,5,3,9,4,9
3471,D,4,7,4,5,2,5,6,10,9,5,5,6,3,8,4,8
8292,B,5,10,7,7,6,9,6,4,7,9,5,7,2,8,6,10
10546,Q,2,3,3,4,2,7,8,4,2,8,9,10,2,9,4,8
1624,Z,4,5,5,8,2,7,7,4,14,9,6,8,0,8,8,8
16114,Y,4,7,6,9,7,9,10,7,4,7,7,6,5,11,6,3
5905,E,2,3,4,2,2,7,8,2,8,11,6,9,2,9,4,8
17821,I,1,5,2,4,1,7,9,0,7,13,6,6,0,8,1,7
13153,F,4,8,6,6,7,9,7,1,5,9,5,5,3,10,4,6
974,W,6,10,9,7,7,4,11,2,2,8,9,9,7,12,1,8
4742,O,2,1,2,2,1,8,7,7,4,7,6,8,2,8,3,8
855,S,5,8,7,6,4,5,8,4,6,10,9,8,2,8,5,4
12721,U,3,3,4,2,2,6,8,5,7,10,8,8,3,10,3,6
9032,Y,3,5,5,4,2,8,11,1,7,5,11,9,1,11,2,9
2428,R,4,7,5,5,4,11,7,2,5,11,3,7,3,7,3,11
960,R,4,8,4,6,4,6,8,9,4,7,5,8,2,7,5,11
666,P,2,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
7087,Q,4,7,4,9,4,8,5,8,5,9,6,9,3,7,5,8
1482,R,7,12,7,6,5,11,5,3,5,10,3,8,6,8,6,10
6578,C,3,6,4,4,1,3,9,5,7,11,11,10,2,9,2,6
19873,C,4,6,5,4,5,7,7,4,3,6,8,10,5,11,3,8
5106,P,6,11,9,8,7,9,8,2,5,13,5,5,3,9,4,9
1497,N,3,3,5,2,2,7,9,3,4,10,6,6,5,9,1,7
14794,R,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9
7603,X,4,9,5,6,1,7,7,5,4,7,6,8,3,8,4,8
15306,R,12,14,9,8,5,9,7,6,5,10,2,8,7,5,6,10
17210,G,6,9,8,7,8,7,10,6,3,5,5,11,5,7,8,7
7534,U,7,13,7,7,3,6,5,5,6,3,9,8,5,9,2,7
19303,T,3,5,4,4,2,7,12,2,8,7,11,8,1,11,1,7
8269,A,2,3,3,2,1,8,2,2,1,8,2,8,2,6,3,8
6044,D,5,11,6,8,5,9,7,5,7,10,4,5,3,8,3,8
4420,M,2,0,2,1,1,7,6,10,0,7,8,8,6,6,0,8
18690,W,4,9,7,7,5,9,10,2,3,6,9,8,7,11,1,8
3438,F,5,9,4,4,2,6,10,3,5,12,6,5,2,8,5,6
15215,L,4,9,5,7,4,9,4,1,7,9,2,10,1,6,3,9
2459,U,5,6,5,4,4,5,8,5,6,9,7,10,3,9,3,6
1659,I,1,7,0,4,0,7,7,4,4,7,6,8,0,8,0,8
4553,W,6,9,8,6,7,7,7,6,3,5,8,9,11,8,6,4
18668,A,2,7,4,5,3,11,3,2,2,9,2,9,1,6,2,8
14269,Q,4,8,5,10,6,8,6,8,5,5,6,8,4,9,7,11
12235,O,5,11,6,8,3,8,7,9,8,7,6,8,3,8,4,8
12895,C,2,1,3,2,1,6,8,7,7,8,7,13,1,10,4,10
14929,O,3,9,4,7,4,7,6,8,5,6,4,8,3,8,3,7
5733,B,4,9,4,4,3,9,6,3,4,9,5,8,6,8,7,9
13270,D,4,11,6,8,5,7,7,8,7,7,6,4,3,8,3,7
4975,N,4,7,4,5,3,8,7,12,1,6,6,8,5,8,0,9
5747,B,3,7,4,5,3,6,5,9,7,6,7,7,2,9,8,9
273,T,1,0,2,1,0,7,14,1,4,7,10,8,0,8,0,8
9419,H,4,5,6,7,6,7,8,4,1,8,6,6,4,10,8,5
10806,M,3,3,5,2,3,8,6,6,4,7,7,8,7,5,2,7
13301,R,4,8,6,6,5,10,7,2,6,11,2,7,4,7,3,10
16546,E,3,7,4,5,2,3,7,6,11,7,6,15,0,8,7,7
16942,R,1,0,2,0,1,6,10,7,2,7,5,8,2,7,4,9
6344,V,7,13,7,7,4,8,9,4,4,8,8,5,6,14,2,8
12455,A,3,8,5,5,2,10,5,3,1,8,1,9,2,7,2,9
9177,R,4,2,5,4,4,7,8,4,6,7,5,7,3,7,4,8
1,I,5,12,3,7,2,10,5,5,4,13,3,9,2,8,4,10
7673,V,3,7,5,5,1,7,8,4,2,7,14,8,3,10,0,8
5291,G,2,2,4,3,2,6,6,6,6,7,6,11,2,9,4,9
9536,U,9,12,8,7,5,7,6,5,5,6,7,8,6,8,3,7
14553,U,6,10,8,8,11,7,6,4,5,7,7,8,11,9,7,10
377,R,8,12,8,7,6,9,6,3,5,9,4,8,6,8,6,8
700,K,2,3,2,2,2,5,7,4,7,6,6,10,3,8,4,10
9840,F,8,12,7,6,4,8,8,2,5,10,5,6,3,8,7,8
15456,U,5,10,5,7,2,7,4,15,6,7,14,8,3,9,0,8
14276,O,5,5,7,8,3,7,8,9,8,8,7,6,3,8,4,8
5575,V,3,6,4,4,2,8,9,4,2,7,12,8,2,10,0,8
7001,V,2,3,4,4,1,7,8,4,2,7,13,8,3,10,0,8
9913,B,6,9,8,6,6,11,5,2,7,11,3,7,4,7,5,11
3226,C,5,8,6,6,2,6,6,7,11,8,5,12,1,9,4,8
12179,Y,3,5,5,4,2,6,10,1,8,8,12,8,1,11,2,7
11889,K,9,13,8,7,4,7,7,3,7,9,9,9,6,11,3,7
921,R,3,5,6,3,4,8,8,3,5,9,4,7,3,6,3,11
5420,L,2,2,3,4,2,4,4,4,7,2,1,6,0,7,1,6
13659,A,4,6,7,8,2,8,6,3,1,7,0,8,3,7,2,8
13031,E,2,2,3,3,2,7,7,5,7,7,6,9,2,8,5,10
9823,B,4,7,6,5,4,9,6,4,6,10,5,6,2,8,6,10
13043,W,5,4,6,3,3,4,11,3,2,9,9,7,7,11,1,6
4366,K,5,11,7,8,8,5,7,5,4,7,5,8,4,6,10,8
3743,C,5,11,6,8,5,7,8,8,6,5,6,12,4,7,4,7
5217,E,3,5,6,3,3,7,7,2,8,11,6,9,2,8,4,8
12996,W,7,9,7,5,3,3,9,3,2,8,11,9,10,11,0,7
18310,G,4,7,4,5,2,7,6,6,6,11,6,12,2,10,4,10
5136,D,3,2,4,3,2,7,7,6,7,6,6,5,2,8,3,7
5854,S,6,13,5,7,3,11,2,1,5,10,1,8,2,8,4,12
19691,E,5,10,7,8,6,7,8,2,7,11,6,9,3,8,4,9
4419,A,3,9,5,7,4,12,2,3,3,10,2,9,3,8,4,9
10839,Z,5,8,7,6,4,7,8,2,10,12,7,8,1,9,6,7
11670,L,4,9,6,6,3,7,3,1,8,8,2,10,2,5,4,7
8272,L,2,2,3,4,2,5,4,5,7,2,2,5,1,6,1,6
18768,X,3,9,4,6,1,7,7,4,4,7,6,8,3,8,4,8
11981,I,0,0,0,0,0,7,7,4,4,7,6,8,0,8,0,8
4158,J,1,5,3,4,1,9,6,3,6,14,5,10,0,7,0,7
16547,J,4,5,6,5,5,8,9,4,5,7,6,8,3,7,8,8
6204,Z,5,5,6,8,3,7,7,4,15,9,6,8,0,8,8,8
16035,C,1,0,1,0,0,7,7,5,7,7,6,14,0,8,4,10
14733,T,8,12,7,7,2,5,11,3,7,13,7,4,2,8,4,4
182,U,5,10,6,7,2,7,4,14,6,7,15,8,3,9,0,8
19062,A,4,8,7,6,5,6,5,2,3,4,2,6,2,6,3,4
10799,P,2,1,2,1,1,5,11,8,2,9,6,4,1,9,3,8
934,R,2,0,2,1,1,7,11,8,2,7,5,8,2,7,4,10
16159,F,4,6,6,4,3,6,11,4,5,12,7,5,2,9,2,6
16510,S,4,10,4,7,2,8,7,6,9,5,6,7,0,8,9,8
12530,H,3,3,5,1,2,6,7,3,6,10,9,9,3,8,3,6
17569,E,5,9,7,7,8,6,7,3,6,7,7,11,4,10,8,7
5591,N,5,10,7,5,3,8,7,2,4,12,8,8,5,8,0,8
14846,E,3,10,4,7,5,7,7,6,8,8,8,9,3,8,6,9
15911,B,3,4,4,6,3,6,8,9,7,7,6,7,2,8,9,9
15385,Q,3,6,4,7,4,9,5,6,3,9,5,11,3,9,5,9
8023,B,4,10,5,7,7,8,8,6,6,7,6,6,6,8,6,10
1867,H,3,2,4,4,3,7,7,5,6,7,6,8,6,8,4,8
19391,U,9,13,8,7,5,8,5,5,5,6,9,8,5,9,3,8
11173,N,6,10,9,8,5,10,8,3,6,10,2,4,5,9,1,7
6331,O,4,9,3,5,2,6,7,6,3,10,6,9,5,9,5,7
16560,X,7,15,7,8,4,10,7,2,8,9,4,7,4,10,4,10
3848,Q,5,10,7,9,3,8,7,8,7,6,7,9,3,8,5,9
241,P,6,11,9,8,5,8,10,7,5,10,4,3,3,10,4,8
